versions,an_type,mo_type,proportion,count,color
CS7,argument_reorder,argument_rename,0.0,0,#48D373
CS7,argument_reorder,argument_reorder,0.0,0,#FCC168
CS7,argument_reorder,argument_add,0.0,0,#EA0D30
CS7,argument_reorder,argument_remove,0.0,0,#EA0D30
CS7,argument_reorder,argument_type_change,0.0,0,#48D373
CS7,argument_reorder,body,0.0,0,#48D373
CS7,argument_reorder,deleted,0.0,0,#EA0D30
CS7,argument_add,refactored_move,0.0,0,#48D373
CS7,argument_add,refactored_rename,0.0,0,#48D373
CS7,argument_add,refactored_inline,0.0,0,#EA0D30
CS7,argument_add,refactored_extract,0.0,0,#EA0D30
CS7,argument_add,argument_rename,0.0,0,#48D373
CS7,argument_add,argument_reorder,0.0,0,#EA0D30
CS7,argument_add,argument_add,0.0,0,#FCC168
CS7,argument_add,argument_remove,0.0,0,#EA0D30
CS7,argument_add,argument_type_change,0.0,0,#EA0D30
CS7,argument_add,body,0.0,0,#EA0D30
CS7,argument_add,deleted,0.0,0,#EA0D30
CS7,argument_remove,refactored_move,0.0,0,#48D373
CS7,argument_remove,refactored_rename,0.0,0,#48D373
CS7,argument_remove,refactored_inline,0.0,0,#EA0D30
CS7,argument_remove,refactored_extract,0.0,0,#EA0D30
CS7,argument_remove,argument_rename,0.0,0,#48D373
CS7,argument_remove,argument_reorder,0.0,0,#EA0D30
CS7,argument_remove,argument_add,0.0,0,#EA0D30
CS7,argument_remove,argument_remove,0.0,0,#FCC168
